Asset Symbol,Asset Class,Asset Sub-Class,Asset Sector
QDEF,Equity,US - Large Cap Value Equities,
CATH,Equity,US - Large Cap Growth Equities,
DFEB,Equity,US - Large Cap Blend Equities,
RAVI,Bond,US - Corporate Bonds,
ILTB,Bond,US - Long Term Government Bonds,
DBEU,Equity,Global - Developed Markets Equities - Canada & Europe,
ERX,Leveraged Equity,Leveraged Equities,Energy
XTN,Equity,US - All Cap Equities,Industrials
RTM,Equity,US - Large Cap Blend Equities,Materials
PTMC,Multi-Asset,US - Mid Cap Blend Equities,
JQUA,Equity,US - Large Cap Growth Equities,
PTBD,Bond,US - High Yield Bonds,
EZA,Equity,Global - Emerging Markets Equities - Others,
XITK,Equity,US - All Cap Equities,Technology
CSM,Equity,Long-Short,
IYZ,Equity,US - All Cap Equities,Telecom
NULG,Equity,US - Large Cap Growth Equities,
LABU,Leveraged Equity,Leveraged Equities,Healthcare
FLGV,Bond,US - Short Term Government Bonds,
FALN,Bond,US - High Yield Bonds,
IBDS,Bond,US - Corporate Bonds,
ZROZ,Bond,US - Long Term Government Bonds,
KRMA,Equity,US - Large Cap Growth Equities,
NTSX,Multi-Asset,Preferred Stock/Convertible Bonds,
SNPE,Equity,US - Large Cap Growth Equities,
TZA,Inverse Equity,Inverse Equities,
VBND,Bond,US - Total Bond Market,
REZ,Real Estate,US - Real Estate,Real Estate
FDLO,Equity,US - All Cap Equities,
TFLO,Bond,US - Short Term Government Bonds,
SVXY,Volatility,Leveraged Volatility,
EWD,Equity,Global - Developed Markets Equities - Canada & Europe,
TMFC,Equity,US - Large Cap Growth Equities,
RFG,Equity,US - Mid Cap Growth Equities,
PSCT,Equity,US - Small Cap Blend Equities,Technology
TAIL,Multi-Asset,Diversified Portfolio,
DWAS,Equity,US - Small Cap Growth Equities,
TPYP,Equity,US - All Cap Equities,Energy
UUP,Currency,Currency,
NAIL,Leveraged Equity,Leveraged Equities,Materials
XSW,Equity,US - All Cap Equities,Technology
QQQE,Equity,US - Large Cap Growth Equities,
TDSB,Multi-Asset,Diversified Portfolio,
PSI,Equity,US - All Cap Equities,Technology
PTF,Equity,US - All Cap Equities,Technology
VUSE,Equity,US - All Cap Equities,
KIE,Equity,US - Large Cap Blend Equities,Financials
FXR,Equity,US - All Cap Equities,Industrials
BSCQ,Bond,US - Corporate Bonds,
TECB,Equity,US - All Cap Equities,Technology
PJP,Equity,US - All Cap Equities,Healthcare
URTY,Leveraged Equity,Leveraged Equities,
