Asset Symbol,Asset Class,Asset Sub-Class,Asset Sector
KEMQ,Equity,Global - Emerging Markets Equities,Technology
LOUP,Equity,US - All Cap Equities,Technology
ISRA,Equity,Global - Global Equities,Technology
IVES,Equity,Global - Global Equities,Technology
WUGI,Equity,US - All Cap Equities,Technology
CHIK,Equity,Global - Emerging Markets Equities - Asia,Technology
THNQ,Equity,Global - Global Equities,Technology
DAPP,Equity,US - All Cap Equities,Technology
CLDL,Leveraged Equity,Leveraged Equities,Technology
UCYB,Equity,US - All Cap Equities,Technology
MRAD,Equity,US - All Cap Equities,Technology
YOLO,Equity,US - All Cap Equities,Healthcare
KURE,Equity,Global - Emerging Markets Equities - Asia,Healthcare
PPH,Equity,Global - Global Equities,Healthcare
POTX,Equity,Global - Global Equities,Healthcare
CNBS,Equity,Global - Global Equities,Healthcare
CHIH,Equity,Global - Emerging Markets Equities - Asia,Healthcare
BMED,Equity,Global - Global Equities,Healthcare
KMED,Equity,Global - Emerging Markets Equities,Healthcare
IXG,Equity,Global - Global Equities,Financials
CHIX,Equity,Global - Emerging Markets Equities - Asia,Financials
REIT,Real Estate,US - Real Estate,Real Estate
ERTH,Equity,US - All Cap Equities,Energy
CNRG,Equity,US - All Cap Equities,Energy
SMOG,Equity,US - All Cap Equities,Energy
RNRG,Equity,Global - Global Equities,Energy
FILL,Equity,Global - Global Equities,Energy
AMNA,Equity,US - All Cap Equities,Energy
ENFR,Equity,US - All Cap Equities,Energy
EINC,Equity,US - All Cap Equities,Energy
USAI,Equity,US - All Cap Equities,Energy
CRAK,Equity,US - All Cap Equities,Energy
KWT,Equity,Global - Global Equities,Energy
CHIE,Equity,Global - Emerging Markets Equities - Asia,Energy
GUNR,Equity,Global - Global Equities,Materials
LIT,Equity,Global - Global Equities,Materials
GNR,Equity,Global - Global Equities,Materials
PICK,Equity,Global - Global Equities,Materials
MOO,Equity,US - All Cap Equities,Materials
SILJ,Equity,US - All Cap Equities,Materials
NUGT,Leveraged Equity,Leveraged Equities,Materials
REMX,Equity,Global - Emerging Markets Equities - Asia,Materials
JNUG,Leveraged Equity,Leveraged Equities,Materials
RING,Equity,Global - Global Equities,Materials
NANR,Equity,US - All Cap Equities,Materials
SGDM,Equity,US - All Cap Equities,Materials
BATT,Equity,US - All Cap Equities,Materials
SGDJ,Equity,US - All Cap Equities,Materials
GOAU,Equity,Global - Global Equities,Materials
DUST,Inverse Equity,Inverse Equities,Materials
CUT,Equity,Global - Global Equities,Materials
JDST,Inverse Equity,Inverse Equities,Materials
VEGI,Equity,Global - Global Equities,Materials
GOEX,Equity,Global - Global Equities,Materials
FTRI,Equity,Global - Global Equities,Materials
FLM,Equity,Global - Global Equities,Materials
FTAG,Equity,Global - Global Equities,Materials
CHIM,Equity,Global - Emerging Markets Equities - Asia,Materials
CHIQ,Equity,Global - Emerging Markets Equities - Asia,Consumer Discretionary
HERO,Equity,US - All Cap Equities,Consumer Discretionary
RXI,Equity,Global - Global Equities,Consumer Discretionary
EBIZ,Equity,Global - Global Equities,Consumer Discretionary
NERD,Equity,US - All Cap Equities,Consumer Discretionary
INCO,Equity,Global - Global Equities,Consumer Discretionary
BFIT,Equity,Global - Global Equities,Consumer Discretionary
VCAR,Equity,US - All Cap Equities,Consumer Discretionary
ARKX,Equity,US - All Cap Equities,Industrials
EXI,Equity,Global - Global Equities,Industrials
AWAY,Equity,US - All Cap Equities,Industrials
HAIL,Equity,US - All Cap Equities,Industrials
EBLU,Equity,Global - Global Equities,Industrials
RFEU,Equity,Global - Developed Markets Equities - Canada & Europe,Industrials
MOTO,Equity,US - All Cap Equities,Industrials
CHII,Equity,Global - Emerging Markets Equities - Asia,Industrials
IGF,Equity,Global - Global Equities,Utilities
NFRA,Equity,Global - Global Equities,Utilities
TOLZ,Equity,Global - Global Equities,Utilities
EMIF,Equity,Global - Emerging Markets Equities,Utilities
GLIF,Equity,Global - Global Equities,Utilities
CHIU,Equity,Global - Emerging Markets Equities - Asia,Utilities
ECON,Equity,Global - Emerging Markets Equities,Consumer Staples
CHIS,Equity,Global - Emerging Markets Equities - Asia,Consumer Staples
EMTY,Equity,US - All Cap Equities,Consumer Staples
MCHI,Equity,Global - Emerging Markets Equities - Asia,
FXI,Equity,Global - Emerging Markets Equities - Asia,
ASHR,Equity,Global - Emerging Markets Equities - Asia,
CQQQ,Equity,Global - Emerging Markets Equities - Asia,Technology
CXSE,Equity,Global - Emerging Markets Equities - Asia,
KBA,Equity,Global - Emerging Markets Equities - Asia,
CNYA,Equity,Global - Emerging Markets Equities - Asia,
YINN,Leveraged Equity,Leveraged Equities,
PGJ,Equity,Global - Emerging Markets Equities - Asia,
KGRN,Equity,Global - Emerging Markets Equities - Asia,Technology
CHAU,Leveraged Equity,Leveraged Equities,
KFVG,Equity,Global - Emerging Markets Equities - Asia,Technology
FLCH,Equity,Global - Emerging Markets Equities - Asia,
KSTR,Equity,Global - Emerging Markets Equities - Asia,
ECNS,Equity,Global - Emerging Markets Equities - Asia,
KBUY,Equity,Global - Emerging Markets Equities - Asia,
CNXT,Equity,Global - Emerging Markets Equities - Asia,
ASHS,Equity,Global - Emerging Markets Equities - Asia,
RAYC,Equity,Global - Emerging Markets Equities - Asia,
CN,Equity,Global - Emerging Markets Equities - Asia,
YANG,Inverse Equity,Inverse Equities,
XPP,Equity,Global - Emerging Markets Equities - Asia,
KALL,Equity,Global - Emerging Markets Equities - Asia,
FXP,Equity,Global - Emerging Markets Equities - Asia,
CHIC,Equity,Global - Emerging Markets Equities - Asia,
FCA,Equity,Global - Emerging Markets Equities - Asia,
ASHX,Equity,Global - Emerging Markets Equities - Asia,
KFYP,Equity,Global - Emerging Markets Equities - Asia,
KBND,Bond,Global - Government Bonds,
AFTY,Equity,Global - Emerging Markets Equities - Asia,
YXI,Equity,Global - Emerging Markets Equities - Asia,
IEMG,Equity,Global - Emerging Markets Equities,
VXUS,Equity,Global - Global Equities,
VEU,Equity,Global - Global Equities,
AAXJ,Equity,Global - Emerging Markets Equities - Asia,
ACWX,Equity,Global - Global Equities,
VIGI,Equity,Global - Global Equities,
VSGX,Equity,Global - Emerging Markets Equities - Asia,
CWI,Equity,Global - Global Equities,
IHDG,Equity,Global - Emerging Markets Equities - Asia,
EMGF,Equity,Global - Emerging Markets Equities,
DNL,Equity,Global - Global Equities,
UEVM,Equity,Global - Emerging Markets Equities,
HEEM,Equity,Global - Emerging Markets Equities,
DDWM,Equity,Global - Global Equities,
FDNI,Equity,Global - Global Equities,
QEMM,Equity,Global - Emerging Markets Equities,
IQDE,Equity,Global - Global Equities,
MOTI,Equity,Global - Global Equities,
IQDY,Equity,Global - Global Equities,
EYLD,Equity,Global - Emerging Markets Equities,
RESE,Equity,Global - Emerging Markets Equities - Asia,
FLAX,Equity,Global - Emerging Markets Equities - Asia,
IPOS,Equity,Global - Emerging Markets Equities - Asia,
ASEA,Equity,Global - Emerging Markets Equities - Asia,
AZBA,Equity,Global - Emerging Markets Equities - Asia,
QLVE,Equity,Global - Emerging Markets Equities - Asia,
EATZ,Equity,Global - Emerging Markets Equities - Asia,
ADIV,Equity,Global - Emerging Markets Equities - Asia,
INDA,Equity,Global - Emerging Markets Equities - Asia,
VPL,Equity,Global - Developed Markets Equities - Asia,
BBAX,Equity,Global - Developed Markets Equities - Asia,
EEMV,Equity,Global - Emerging Markets Equities,
AIA,Equity,Global - Emerging Markets Equities - Asia,
EPP,Equity,Global - Developed Markets Equities - Asia,
IPAC,Equity,Global - Developed Markets Equities - Asia,
EEMA,Equity,Global - Emerging Markets Equities - Asia,
EPI,Equity,Global - Emerging Markets Equities - Asia,
GMF,Equity,Global - Emerging Markets Equities - Asia,
INDY,Equity,Global - Emerging Markets Equities - Asia,
EIDO,Equity,Global - Emerging Markets Equities - Asia,
SMIN,Equity,Global - Emerging Markets Equities - Asia,
EEMX,Equity,Global - Emerging Markets Equities,
BKF,Equity,Global - Emerging Markets Equities,
NFTY,Equity,Global - Emerging Markets Equities - Asia,
GLIN,Equity,Global - Emerging Markets Equities - Asia,
DVYA,Equity,Global - Emerging Markets Equities - Asia,
FLTW,Equity,Global - Emerging Markets Equities - Asia,
BKEM,Equity,Global - Emerging Markets Equities - Asia,
GSEE,Equity,Global - Emerging Markets Equities - Asia,
FLIN,Equity,Global - Emerging Markets Equities - Asia,
FLAU,Equity,Global - Emerging Markets Equities - Asia,
FLHK,Equity,Global - Emerging Markets Equities - Asia,
EMMF,Equity,Global - Emerging Markets Equities - Asia,
EELV,Equity,Global - Emerging Markets Equities,
EDOG,Equity,Global - Emerging Markets Equities,
EMFM,Equity,Global - Emerging Markets Equities,
FEMS,Equity,Global - Emerging Markets Equities,
OBOR,Equity,Global - Emerging Markets Equities,
EWX,Equity,Global - Emerging Markets Equities,
ROAM,Equity,Global - Emerging Markets Equities,
FDEM,Equity,Global - Emerging Markets Equities,
EDIV,Equity,Global - Emerging Markets Equities,
DGS,Equity,Global - Emerging Markets Equities,
XCEM,Equity,Global - Emerging Markets Equities,
EEMS,Equity,Global - Emerging Markets Equities,
LDEM,Equity,Global - Emerging Markets Equities,
EMXC,Equity,Global - Emerging Markets Equities,
DGRE,Equity,Global - Emerging Markets Equities,
DVYE,Equity,Global - Emerging Markets Equities,
RODE,Equity,Global - Emerging Markets Equities,
KEMX,Equity,Global - Emerging Markets Equities,
JHEM,Equity,Global - Emerging Markets Equities,
FEM,Equity,Global - Emerging Markets Equities,
EMSG,Equity,Global - Emerging Markets Equities,
SPEM,Equity,Global - Emerging Markets Equities,
XSOE,Equity,Global - Emerging Markets Equities,
NUEM,Equity,Global - Emerging Markets Equities,
AVEM,Equity,Global - Emerging Markets Equities,
RNEM,Equity,Global - Emerging Markets Equities,
SCHE,Equity,Global - Emerging Markets Equities,
WWJD,Equity,Global - Emerging Markets Equities,
ESGE,Equity,Global - Emerging Markets Equities,
EEMD,Equity,Global - Emerging Markets Equities,
VIDI,Equity,Global - Emerging Markets Equities,
EEMO,Equity,Global - Emerging Markets Equities,
DBEM,Equity,Global - Emerging Markets Equities,
FLQE,Equity,Global - Emerging Markets Equities,
EJUL,Equity,Global - Emerging Markets Equities,
FNDE,Equity,Global - Emerging Markets Equities,
MFEM,Equity,Global - Emerging Markets Equities,
DEM,Equity,Global - Emerging Markets Equities,
EMDV,Equity,Global - Emerging Markets Equities,
TLTE,Equity,Global - Emerging Markets Equities,
ERSX,Equity,Global - Emerging Markets Equities,
ECOW,Equity,Global - Emerging Markets Equities,
DWX,Equity,Global - Emerging Markets Equities,
VSS,Equity,Global - Emerging Markets Equities,
OVF,Equity,Global - Emerging Markets Equities,
VYMI,Equity,Global - Emerging Markets Equities,
HDAW,Equity,Global - Developed Markets Equities,
DBAW,Equity,Global - Developed Markets Equities,
ACWV,Equity,Global - Developed Markets Equities,
IXUS,Equity,Global - Developed Markets Equities,
HAWX,Equity,Global - Developed Markets Equities,
GEM,Equity,Global - Emerging Markets Equities,
DWMF,Equity,Global - Developed Markets Equities,
DLS,Equity,Global - Developed Markets Equities,
IGRO,Equity,Global - Developed Markets Equities,
DDLS,Equity,Global - Developed Markets Equities,
VT,Equity,Global - Developed Markets Equities,
DIM,Equity,Global - Developed Markets Equities,
CRBN,Equity,Global - Developed Markets Equities,
ACWI,Equity,Global - Developed Markets Equities,
IQDF,Equity,Global - Developed Markets Equities,
FLQG,Equity,Global - Developed Markets Equities,
GWX,Equity,Global - Developed Markets Equities,
FNDC,Equity,Global - Developed Markets Equities,
SPGM,Equity,Global - Developed Markets Equities,
DWM,Equity,Global - Developed Markets Equities,
RESD,Equity,Global - Developed Markets Equities,
ISZE,Equity,Global - Developed Markets Equities,
SCHC,Equity,Global - Developed Markets Equities,
QINT,Equity,Global - Developed Markets Equities,
HSCZ,Equity,Global - Developed Markets Equities,
DEEF,Equity,Global - Developed Markets Equities,
IDHQ,Equity,Global - Developed Markets Equities,
JPIN,Equity,Global - Developed Markets Equities,
SDG,Equity,Global - Developed Markets Equities,
EFG,Equity,Global - Developed Markets Equities,
HFXI,Equity,Global - Developed Markets Equities,
ACWF,Equity,Global - Developed Markets Equities,
IDEV,Equity,Global - Developed Markets Equities,
CEFA,Equity,Global - Developed Markets Equities,
DBEF,Equity,Global - Developed Markets Equities,
HEFA,Equity,Global - Developed Markets Equities,
EFAX,Equity,Global - Developed Markets Equities,
JHMD,Equity,Global - Developed Markets Equities,
IJUL,Equity,Global - Developed Markets Equities,
BBIN,Equity,Global - Global Equities,
BKIE,Equity,Global - Global Equities,
GSID,Equity,Global - Global Equities,
KOKU,Equity,Global - Global Equities,
SPSK,Equity,Global - Global Equities,
JPEM,Equity,Global - Emerging Markets Equities,
RFEM,Equity,Global - Emerging Markets Equities,
SCO,Inverse Commodities,Inverse Commodities,
EDC,Leveraged Equity,Leveraged Equities,
EET,Leveraged Equity,Leveraged Equities,
INDL,Leveraged Equity,Leveraged Equities,
EDZ,Inverse Equity,Inverse Equities,
VWOB,Bond,Global - Emerging Markets Bonds,
DFAE,Equity,Global - Emerging Markets Equities,
EMBD,Bond,Global - Emerging Markets Bonds,
EMTL,Bond,Global - Emerging Markets Bonds,
EJAN,Equity,Global - Emerging Markets Equities,
JEMA,Equity,Global - Emerging Markets Equities,
JPMB,Bond,Global - Emerging Markets Bonds,
EAPR,Equity,Global - Emerging Markets Equities,
EUM,Inverse Equity,Inverse Equities,
EFIX,Bond,Global - Emerging Markets Bonds,
CEW,Currency,Currency,
EMXF,Equity,Global - Emerging Markets Equities,
FAIL,Equity,Global - Emerging Markets Equities,
EEV,Inverse Equity,Inverse Equities,
NTSE,Equity,Global - Emerging Markets Equities,
EZU,Equity,Global - Developed Markets Equities - Canada & Europe,
HEZU,Currency,Currency,
FEP,Equity,Global - Developed Markets Equities - Canada & Europe,
SPEU,Equity,Global - Developed Markets Equities - Canada & Europe,
FXE,Currency,Currency,
FXF,Currency,Currency,
GSEU,Equity,Global - Developed Markets Equities - Canada & Europe,
DBEZ,Equity,Global - Developed Markets Equities - Canada & Europe,
EPV,Inverse Equity,Inverse Equities,
UPV,Leveraged Equity,Leveraged Equities,
ULE,Leveraged Equity,Leveraged Equities,
BBJP,Equity,Global - Developed Markets Equities - Asia,
GSIE,Equity,Global - Developed Markets Equities,
DXJ,Equity,Global - Developed Markets Equities - Asia,
FLJP,Equity,Global - Developed Markets Equities - Asia,
HEWJ,Currency,Global - Developed Markets Equities - Asia,
FDT,Equity,Global - Developed Markets Equities,
DOL,Equity,Global - Developed Markets Equities,
UIVM,Equity,Global - Developed Markets Equities,
IQDG,Equity,Global - Developed Markets Equities,
RFDI,Equity,Global - Developed Markets Equities,
FXA,Currency,Global - Developed Markets Equities - Asia,
MFDX,Equity,Global - Developed Markets Equities,
HDMV,Equity,Global - Developed Markets Equities,
DXJS,Equity,Global - Developed Markets Equities - Asia,
GSJY,Equity,Global - Developed Markets Equities - Asia,
EWV,Inverse Equity,Inverse Equities,
EFAV,Equity,US - All Cap Equities,
QEFA,Multi-Asset,Global - Developed Markets Equities,
IDLV,Equity,Global - Developed Markets Equities,
SCHY,Equity,Global - Developed Markets Equities,
MSTB,Equity,US - All Cap Equities,
IMFL,Equity,US - All Cap Equities,
BUFF,Equity,US - All Cap Equities,
DYLD,Equity,US - All Cap Equities,
TPIF,Equity,Global - Developed Markets Equities,
QLVD,Multi-Asset,US - All Cap Equities,
QWLD,Multi-Asset,US - All Cap Equities,
HYRM,Equity,Currency,
AZBO,Equity,US - Large Cap Blend Equities,
AZAO,Equity,US - Large Cap Blend Equities,
FICS,Equity,Global - Developed Markets Equities,
ASPY,Equity,US - All Cap Equities,
BKUI,Bond,US - Short Term Government Bonds,
AZBL,Equity,US - Large Cap Blend Equities,
KONG,Equity,US - All Cap Equities,
PSMO,Equity,Diversified Portfolio,
HDLB,Leveraged Equity,Leveraged Equity,
AZAL,Equity,US - Large Cap Blend Equities,
TFJL,Equity,US - Long Term Government Bonds,
LVOL,Equity,Diversified Portfolio,
TBJL,Equity,US - Long Term Government Bonds,
PSCQ,Equity,Diversified Portfolio,
PFIX,Equity,Diversified Portfolio,
UPAR,Equity,Diversified Portfolio,
FORH,Equity,Diversified Portfolio,
FLSP,Equity,Diversified Portfolio,
KMLM,Equity,Diversified Portfolio,
MSVX,Equity,Diversified Portfolio,
LBAY,Equity,Long-Short,
CLSE,Equity,Long-Short,
EVNT,Equity,Diversified Portfolio,
GLDI,Equity,Commodities - Gold,
CLSM,Equity,Diversified Portfolio,
GAA,Equity,Diversified Portfolio,
ASET,Equity,Diversified Portfolio,
LCR,Equity,Diversified Portfolio,
FPEI,Equity,Diversified Portfolio,
IYLD,Equity,Diversified Portfolio,
SPBC,Equity,Diversified Portfolio,
CYA,Equity,Diversified Portfolio,
FID,Equity,Diversified Portfolio,
AMAX,Equity,Diversified Portfolio,
GYLD,Equity,Diversified Portfolio,
MVRL,Equity,Diversified Portfolio,Real Estate
RIET,Multi-Asset,Diversified Portfolio,
PQDI,Equity,Diversified Portfolio,
PFFL,Equity,Diversified Portfolio,
HYIN,Equity,Diversified Portfolio,
AGOX,Equity,Diversified Portfolio,
DUDE,Equity,Diversified Portfolio,
NTSI,Equity,Diversified Portfolio,
LEXI,Equity,Diversified Portfolio,
BFIX,Bond,US - Total Bond Market,
MRSK,Equity,Diversified Portfolio,
CEFD,Leveraged Equity,Leveraged Equity,
OPPX,Equity,Diversified Portfolio,
CLSA,Equity,Diversified Portfolio,
TDSE,Equity,Diversified Portfolio,
EAOA,Equity,Diversified Portfolio,
EAOR,Equity,Diversified Portfolio,
TRTY,Equity,Diversified Portfolio,
CLSC,Equity,Diversified Portfolio,
AGG,Bond,US - Total Bond Market,
SPDW,Equity,Global - Developed Markets Equities,
BBEU,Equity,Global - Developed Markets Equities - Canada & Europe,
FNDF,Equity,Global - Developed Markets Equities - Canada & Europe,
ESGD,Equity,Global - Developed Markets Equities,
BBCA,Equity,Global - Developed Markets Equities - Canada & Europe,
IDV,Equity,Global - Global Equities,
IQLT,Equity,Diversified Portfolio,
ILCG,Equity,US - Large Cap Growth Equities,
RODM,Equity,Global - Developed Markets Equities,
SUSB,Equity,US - Corporate Bonds,
INTF,Equity,Global - Global Equities,
IMTM,Equity,Global - Global Equities,
ILCB,Equity,US - All Cap Equities,
PID,Equity,Global - Global Equities,
BNDW,Bond,Global - Government Bonds,
TLTD,Equity,Global - Developed Markets Equities,
DDM,Leveraged Equity,Leveraged Equity,
GCOW,Equity,Global - Global Equities,
RLY,Multi-Asset,Diversified Portfolio,
DMXF,Equity,Global - Developed Markets Equities,
JPIB,Equity,Global - Government Bonds,
BGRN,Bond,US - Corporate Bonds,
WDIV,Equity,Global - Developed Markets Equities,
NUDM,Equity,Global - Developed Markets Equities,
FLIA,Bond,Global - Government Bonds,
ROBT,Multi-Asset,US - Large Cap Growth Equities,Technology
IQSI,Equity,Global - Global Equities,
JSCP,Equity,US - Short Term Government Bonds,
DBJP,Equity,Global - Developed Markets Equities - Asia,
HYXF,Equity,US - High Yield Bonds,
ESGB,Equity,US - Total Bond Market,
JPIE,Equity,Diversified Portfolio,
KEUA,Equity,Global - Developed Markets Equities - Canada & Europe,
EFAD,Equity,Global - Developed Markets Equities - Canada & Europe,
HKND,Equity,Diversified Portfolio,
UCRD,Bond,US - Corporate Bonds,
DGT,Equity,Global - Global Equities,
CTEC,Equity,Global - Global Equities,Technology
CIL,Volatility,Global - Global Equities,
OWNS,Equity,US - Real Estate,Real Estate
JSTC,Equity,Global - Global Equities,
JPXN,Equity,Global - Developed Markets Equities - Asia,
FYLD,Equity,Global - Global Equities,
IMOM,Equity,Diversified Portfolio,
TTAI,Equity,Global - Global Equities,
AGNG,Equity,Global - Global Equities,
HIBS,Equity,Leveraged Equity,
HSUN,Equity,Diversified Portfolio,
FEIG,Equity,US - Corporate Bonds,
PINK,Equity,US - All Cap Equities,Healthcare
FLCA,Equity,Global - Developed Markets Equities - Canada & Europe,
JAVA,Equity,US - All Cap Equities,
JIB,Equity,US - Total Bond Market,
WLDR,Equity,Global - Global Equities,
SCRD,Equity,US - Corporate Bonds,
FJP,Equity,Global - Developed Markets Equities - Asia,
DAX,Equity,Global - Developed Markets Equities - Canada & Europe,
KCCA,Equity,US - All Cap Equities,
FLQD,Equity,Global - Global Equities,
SXUS,Equity,Global - Global Equities,
FEUZ,Equity,Global - Developed Markets Equities - Canada & Europe,
EASG,Equity,Global - Developed Markets Equities - Canada & Europe,
GLRY,Equity,US - Mid Cap Blend Equities,
FLJH,Equity,US - All Cap Equities,
JCTR,Equity,US - All Cap Equities,
EURL,Equity,Leveraged Equity,
DEMZ,Equity,US - Large Cap Blend Equities,
ELQD,Bond,US - Corporate Bonds,
FLQH,Equity,Global - Global Equities,
FDEV,Equity,Diversified Portfolio,
UBOT,Leveraged Equity,Leveraged Equity,Technology
SMI,Equity,Diversified Portfolio,
DWCR,Equity,Diversified Portfolio,
MIDE,Equity,US - Mid Cap Blend Equities,
FSYD,Bond,US - All Cap Equities,
SMLE,Equity,US - Small Cap Blend Equities,
BKUS,Equity,US - All Cap Equities,
BKIS,Equity,Global - Global Equities,
BKES,Equity,Global - Emerging Markets Equities,
ESCR,Equity,US - Corporate Bonds,
HART,Equity,Diversified Portfolio,Healthcare
BNE,Equity,Diversified Portfolio,
VWID,Equity,Global - Global Equities,
IDMO,Equity,Global - Global Equities,
AQWA,Equity,Global - Global Equities,Technology
GDVD,Equity,Global - Global Equities,
FLDZ,Equity,Diversified Portfolio,
BSEA,Equity,Diversified Portfolio,Technology
SHFT,Equity,Diversified Portfolio,Energy
DWLD,Equity,Global - Global Equities,
DWSH,Equity,Inverse Equities,
DFAC,Equity,US - All Cap Equities,
DFAT,Equity,US - All Cap Equities,
DFUS,Equity,US - All Cap Equities,
DFAS,Equity,US - Small Cap Blend Equities,
VUSB,Bond,Inverse Equities,
DFAU,Equity,US - All Cap Equities,
LCTU,Equity,US - All Cap Equities,
IMCG,Equity,US - Mid Cap Growth Equities,
QQQJ,Multi-Asset,US - All Cap Equities,
IMCB,Equity,US - Mid Cap Blend Equities,
QVML,Multi-Asset,Diversified Portfolio,
ALTL,Equity,US - Large Cap Blend Equities,
BBSC,Equity,US - Small Cap Blend Equities,
AIVL,Equity,US - All Cap Equities,
BUFD,Equity,Diversified Portfolio,
SPD,Equity,US - All Cap Equities,
IHE,Equity,US - All Cap Equities,Healthcare
ISCV,Equity,US - Small Cap Value Equities,
PFEB,Equity,US - All Cap Equities,
VOTE,Equity,Diversified Portfolio,
PMAY,Equity,US - All Cap Equities,
ISCG,Equity,US - Small Cap Growth Equities,
FDEC,Equity,US - All Cap Equities,
PMAR,Equity,US - All Cap Equities,
AVLV,Equity,US - Large Cap Value Equities,
DFNM,Bond,US - Municipal Bonds,
PDEC,Equity,US - All Cap Equities,
FAPR,Equity,US - All Cap Equities,
FMAR,Equity,US - All Cap Equities,
PNOV,Equity,US - All Cap Equities,
FJAN,Equity,US - All Cap Equities,
ISCB,Equity,US - Small Cap Blend Equities,
DFIP,Equity,US - All Cap Equities,
QVMM,Multi-Asset,US - Mid Cap Blend Equities,
HEGD,Equity,US - Large Cap Blend Equities,
CGCP,Equity,US - All Cap Equities,
PAUG,Equity,US - All Cap Equities,
DAPR,Equity,US - All Cap Equities,
DMAR,Equity,US - All Cap Equities,
HYBB,Equity,US - Corporate Bonds,
FOCT,Equity,US - All Cap Equities,
UWM,Equity,Leveraged Equities,
UMI,Equity,US - All Cap Equities,
SVAL,Equity,US - Small Cap Value Equities,
FJUL,Equity,US - All Cap Equities,
DDEC,Equity,US - All Cap Equities,
AIQ,Equity,Global - Global Equities,Technology
LSAT,Equity,Diversified Portfolio,
PIFI,Equity,Diversified Portfolio,
AZBJ,Equity,US - Large Cap Blend Equities,
FSEP,Equity,US - All Cap Equities,
DOCT,Equity,US - All Cap Equities,
HYBL,Equity,Diversified Portfolio,
NJAN,Equity,US - All Cap Equities,
BFEB,Equity,US - All Cap Equities,
JMUB,Equity,US - Municipal Bonds,
BMAY,Equity,US - All Cap Equities,
BAUG,Equity,US - All Cap Equities,
BALT,Equity,Diversified Portfolio,
PSFF,Equity,Diversified Portfolio,
SVOL,Equity,Volatility,
BNDD,Equity,Diversified Portfolio,
RISR,Multi-Asset,Diversified Portfolio,
JOET,Equity,US - All Cap Equities,
XVOL,Bond,US - All Cap Equities,
BDEC,Equity,US - All Cap Equities,
BMAR,Equity,US - All Cap Equities,
DFNV,Equity,Diversified Portfolio,
QDEC,Multi-Asset,US - All Cap Equities,
ONOF,Equity,US - All Cap Equities,
IBDW,Equity,US - Corporate Bonds,
DJUL,Equity,US - All Cap Equities,
SMIG,Equity,US - All Cap Equities,
BNOV,Equity,US - All Cap Equities,
DSEP,Equity,US - All Cap Equities,
TPLE,Equity,US - All Cap Equities,
AZAJ,Equity,US - Large Cap Blend Equities,
NAPR,Equity,US - All Cap Equities,
OVT,Equity,US - Short Term Government Bonds,
QPX,Multi-Asset,Diversified Portfolio,
SOXQ,Equity,US - All Cap Equities,Technology
LQDB,Equity,US - Corporate Bonds,
MGMT,Equity,US - All Cap Equities,
SENT,Equity,Diversified Portfolio,
NJUL,Equity,US - All Cap Equities,
AMTR,Equity,Diversified Portfolio,Energy
TPHE,Equity,Diversified Portfolio,
QDPL,Multi-Asset,US - Large Cap Value Equities,
IFED,Equity,Diversified Portfolio,
SBND,Equity,US - Short Term Government Bonds,
QMAR,Multi-Asset,US - All Cap Equities,
UDEC,Equity,US - All Cap Equities,
SHUS,Equity,US - Total Bond Market,
UFEB,Equity,US - All Cap Equities,
UMAR,Equity,US - All Cap Equities,
PAB,Equity,US - Total Bond Market,
QVMS,Multi-Asset,US - Small Cap Blend Equities,
MMCA,Equity,US - Municipal Bonds,
IGLD,Equity,Diversified Portfolio,
MINO,Equity,US - Municipal Bonds,
OBND,Equity,US - Total Bond Market,
TYA,Equity,Diversified Portfolio,
MBOX,Equity,Diversified Portfolio,
UMAY,Equity,US - All Cap Equities,
IHYF,Equity,US - High Yield Bonds,
STNC,Equity,US - Large Cap Blend Equities,
TAGG,Equity,US - Total Bond Market,
DFHY,Bond,US - High Yield Bonds,
SSPX,Equity,US - All Cap Equities,
MBND,Equity,US - Municipal Bonds,
TBUX,Equity,US - Short Term Government Bonds,
FHYS,Bond,US - High Yield Bonds,
SCDL,Equity,Leveraged Equities,
SIHY,Equity,Diversified Portfolio,
GFGF,Equity,Diversified Portfolio,
ACVF,Equity,Diversified Portfolio,
QJUN,Multi-Asset,US - All Cap Equities,
AVMU,Equity,US - Municipal Bonds,
SOGU,Equity,Diversified Portfolio,
USML,Equity,Leveraged Equities,
PVAL,Equity,US - Large Cap Value Equities,
FRTY,Equity,US - Mid Cap Blend Equities,
FEDL,Equity,Leveraged Equities,
QSPT,Multi-Asset,US - All Cap Equities,
SXQG,Equity,US - All Cap Equities,
JHMB,Equity,Mortgage Backed Securities,
FCSH,Bond,US - Corporate Bonds,
QCON,Multi-Asset,Diversified Portfolio,
CDX,Bond,US - High Yield Bonds,
QULL,Multi-Asset,Leveraged Equities,
UAUG,Equity,US - All Cap Equities,
INMU,Equity,US - Total Bond Market,
IBHF,Equity,US - High Yield Bonds,
BSCV,Bond,US - Corporate Bonds,
SPAX,Equity,Diversified Portfolio,
HLGE,Equity,Diversified Portfolio,
XBAP,Equity,US - All Cap Equities,
HYMU,Equity,US - High Yield Bonds,
XRMI,Bond,Global - Global Equities,
IBBQ,Equity,US - All Cap Equities,Healthcare
TGIF,Equity,Diversified Portfolio,
TSPA,Equity,US - All Cap Equities,
TOTR,Equity,Diversified Portfolio,
QQQA,Multi-Asset,US - All Cap Equities,
IWFL,Equity,Leveraged Equities,
JHCB,Equity,US - Corporate Bonds,
ESUS,Leveraged Equity,Leveraged Equities,
