Rebalancing Date:,Portfolio Value:,Portfolio returns:,Portfolio Running High Value:,Portfolio Maximum DrawDown:
2008-07-29,492.7217163059948,0.002859169017839669,3255.087015609942,-0.06602406835967786
2008-08-04,490.4620075208046,-0.004586176558507571,3312.2291061104447,-0.070307446883577
2008-08-05,503.46301805568476,0.026507681197566857,3505.6654572225825,-0.04566345307381482
2008-09-05,517.7835483282691,0.028444055986254213,3546.823583486005,-0.01851825090331793
2008-09-12,523.5793279833773,0.011193441108394708,3600.458704163714,-0.007532092745839921
2008-11-17,531.6222657721705,0.015361450230992668,3733.530554724005,-0.0
2008-11-28,544.6283268944829,0.02446485401325571,3887.6822523251367,-0.0
2008-12-31,616.2310236676517,0.13147075397538255,3984.8432083165053,-0.0
2009-01-30,551.7093595005113,-0.10470369340239272,4170.332896872938,-0.10470369340239277
2009-02-27,542.3358577650365,-0.01698992698612367,4347.9583677350465,-0.1199147122824323
2009-03-31,543.6761486157791,0.0024713299545893186,4485.592655302362,-0.1177397311483026
2009-04-30,676.2351306332038,0.2438197488613858,4525.994863639228,-0.0
2009-05-29,738.1282844577545,0.09152608467205203,4558.239452475946,-0.0
2009-06-30,742.5716653888727,0.006019794966104497,4777.190330134051,-0.0
2009-07-31,853.8280031458769,0.1498257244958856,5094.795129831168,-0.0
2009-08-31,933.3851902393716,0.0931770647019905,5842.652086143411,-0.0
2009-09-30,991.1937904589527,0.061934344817230036,6976.182480023598,-0.0
2009-10-30,932.0162609834163,-0.05970328915008172,7511.080228651625,-0.05970328915008176
2009-11-30,1000.1963412337541,0.07315331620759236,7980.693786937529,-0.0
2009-12-31,1000.2935257559196,9.716544458227006e-05,9195.223504653286,-0.0
2010-01-29,952.1718943217581,-0.04810751064073526,9958.899884971815,-0.048107510640735256
2010-02-10,941.036130823177,-0.011695118880308053,9979.665086827179,-0.05924000646506427
2010-02-17,932.8329219024399,-0.008717209310083907,10514.895658674468,-0.06744080823926145
2010-02-26,935.5486954786245,0.0029113183212337024,11135.0163671552,-0.06472583157865348
2010-03-31,1020.6373392288335,0.09095052364610257,11170.26199404175,-0.0
2010-04-30,1048.28725129092,0.02709082942524721,11421.330299203848,-0.0
2010-05-28,977.1391654556901,-0.06787079185367773,12138.072578192694,-0.06787079185367768
2010-06-30,995.018609572667,0.018297745857560388,12367.700350749963,-0.050814928496607285
2010-07-30,996.5381159427545,0.001527113518751344,12689.964759876919,-0.049365415142117494
2010-08-31,973.7795256748284,-0.022837651569800554,12705.913613906405,-0.07107567656130381
2010-09-30,1030.7036747372772,0.058456917157916566,12853.793175068582,-0.01677362434007419
2010-10-29,1061.5841784564307,0.029960603106440553,,-0.0
2010-11-30,1044.7641856426735,-0.01584423840812499,,-0.015844238408124954
2010-12-30,1112.698366186342,0.0650234583815481,,-0.0
2010-12-31,1113.6160961311598,0.0008247787295341258,,-0.0
2011-01-31,1136.94044043256,0.020944690349243178,,-0.0
2011-02-28,1191.238716880366,0.047758241783665945,,-0.0
2011-03-31,1220.9210892010074,0.024917232709136705,,-0.0
2011-04-29,1211.5234025256782,-0.007697210539199695,,-0.007697210539199698
2011-05-31,1207.5673723427344,-0.0032653353411883357,,-0.010937411906785767
2011-06-30,1183.5745920605161,-0.019868688763651554,,-0.030588788637381514
2011-07-29,1156.103531432621,-0.02321024869253918,,-0.05308906393844357
2011-08-31,1252.436480045984,0.08332553789018271,,-0.0
2011-09-30,1288.9011026702965,0.029114947708145378,,-0.0
2011-10-31,1279.8266264136596,-0.007040475206233188,,-0.0070404752062332345
2011-11-30,1269.5943472255744,-0.007995051030277533,,-0.014979237277959537
2011-12-30,1305.481387361443,0.028266540579904076,,-0.0
2012-01-31,1339.7919418213787,0.02628191776007016,,-0.0
2012-02-29,1379.3930507460643,0.029557655699025798,,-0.0
2012-03-30,1382.8551757583186,0.0025098901363769244,,-0.0
2012-04-30,1383.3600798979035,0.00036511714924003513,,-0.0
2012-05-31,1331.9905803786937,-0.03713385998748853,,-0.03713385998748856
2012-06-29,1331.10939387309,-0.0006615561090177469,,-0.03777084996458019
2012-07-31,1291.9493349151214,-0.029419113964800236,,-0.06607877898972511
2012-08-31,1289.2456363468086,-0.0020927280159097617,,-0.06803322209358592
2012-09-28,1306.2196180039848,0.013165824400440451,,-0.055763111148625796
2012-10-31,1230.3594308262814,-0.05807613523185651,,-0.11060074039646571
2012-11-30,1254.7005663458935,0.0197837598589099,,-0.09300507902577716
2012-12-13,1272.9739104699956,0.014563908405110793,,-0.07979568807280797
2012-12-19,1266.6928662122432,-0.0049341500293854645,,-0.08433611420554415
